orfname, Ka, Ks, Ka/Ks 
YDR539W,0.033,0.52,0.064
YDR540C,0.011,0.057,0.191
YDR541C,0.011,0.013,0.821
YEL001C,0.118,0.476,0.249
YEL002C,0.06,0.517,0.116
YEL004W,0.119,0.469,0.253
YEL005C,0.187,0.478,0.392
YEL006W,,,
YEL007W,0.071,0.489,0.145
YEL009C,0.055,0.501,0.11
YEL011W,0.019,0.597,0.032
YEL013W,0.009,0.366,0.023
YEL015W,0.037,0.461,0.08
YEL016C,,,
YEL017W,,,
YEL018W,,,
YEL019C,0.09,0.75,0.12
YEL020C,0.075,0.741,0.101
YEL021W,0.013,0.531,0.024
YEL023C,,,
YEL024W,,,
YEL025C,,,
YEL026W,0,0.209,0
YEL027W,   ,0.123,    
YEL029C,0.051,0.448,0.114
YEL030W,,,
YEL031W,,,
YEL032W,,,
YEL034W,0.016,0.111,0.145
YEL036C,0.029,0.502,0.059
YEL037C,0.053,0.492,0.108
YEL038W,,,
YEL039C,0.017,0.674,0.025
YEL040W,0.065,0.511,0.128
YEL041W,0.111,0.484,0.23
YEL043W,,,
YEL044W,,,
YEL046C,,,
YEL047C,,,
YEL048C,0.098,0.593,0.166
YEL049W,,,
YEL050C,0.035,0.439,0.08
YEL051W,0.009,0.176,0.054
YEL052W,0.043,0.497,0.086
YEL053C,,,
YEL054C,0.003,0.164,0.019
YEL055C,0.099,0.552,0.179
YEL056W,0.069,0.542,0.126
YEL057C,0.137,0.471,0.291
YEL058W,0.07,0.522,0.135
YEL060C,0.075,0.503,0.148
YEL063C,0.04,0.511,0.079
YEL064C,0.056,0.544,0.104
YEL065W,0.036,0.623,0.058
YEL068C,,,
YEL070W,0.025,0.6,0.042
YEL071W,0.022,0.338,0.067
YEL072W,0.103,0.236,0.438
YEL073C,,,
YER001W,,,
YER002W,,,
YER004W,0.083,0.718,0.116
YER005W,0.08,0.482,0.165
YER008C,0.083,0.564,0.147
YER009W,0.003,0.364,0.009
YER010C,,,
YER011W,0.113,0.504,0.225
YER012W,,,
YER013W,0.075,0.448,0.167
YER014W,0.072,0.523,0.138
YER015W,0.049,0.444,0.109
YER016W,0.057,0.429,0.133
YER017C,0.043,0.639,0.068
YER018C,0.084,0.433,0.193
YER020W,,,
YER021W,0.046,0.464,0.098
YER022W,0.078,0.507,0.153
YER023W,0.021,0.48,0.043
YER024W,0.051,0.577,0.088
YER025W,0.008,0.345,0.024
YER026C,,,
YER027C,0.048,0.536,0.09
YER028C,,,
YER029C,0.066,0.697,0.095
YER031C,0.012,0.432,0.028
YER033C,0.177,0.578,0.307
YER034W,0.204,0.522,0.391
YER035W,,,
YER036C,0.005,0.317,0.015
YER037W,0.068,0.558,0.122
YER038C,0.147,0.566,0.26
YER039C,,,
YER040W,0.065,0.515,0.127
YER041W,,,
YER042W,0.046,0.686,0.068
YER043C,0.015,0.36,0.041
YER044C,0.01,0.331,0.03
YER045C,0.262,0.574,0.457
YER046W,0.078,0.624,0.125
YER047C,0.122,0.653,0.186
YER048C,,,
YER049W,,,
YER051W,0.139,0.546,0.255
YER052C,0.009,0.388,0.024
YER053C,0.015,0.53,0.028
YER054C,0.099,0.555,0.178
YER055C,0.042,0.383,0.109
YER056C,0.031,0.446,0.068
YER057C,,,
YER058W,0.064,0.488,0.131
YER059W,,,
YER060W,0.045,0.534,0.085
YER062C,0.009,0.591,0.015
YER063W,0.134,0.549,0.244
YER065C,0.017,0.529,0.032
YER066W,0.235,0.639,0.368
YER067W,0.026,0.914,0.028
YER068W,0.039,0.56,0.069
YER069W,0.043,0.531,0.08
YER070W,0.015,0.461,0.033
YER071C,0.18,0.558,0.322
YER072W,0.007,0.501,0.013
YER073W,0.036,0.562,0.064
YER075C,0.091,0.577,0.158
YER076C,,,
YER078C,0.05,0.602,0.084
YER079W,0.069,0.621,0.112
YER080W,0.055,0.526,0.105
YER081W,0.013,0.416,0.032
YER082C,0.044,0.503,0.088
YER085C,0.16,0.483,0.331
YER086W,0.007,0.507,0.014
YER087W,0.077,0.62,0.124
YER088C,0.116,0.561,0.206
YER089C,0.04,0.61,0.065
YER090W,0.027,0.519,0.051
YER091C,0.007,0.258,0.028
YER092W,0.092,0.541,0.17
YER094C,0.007,0.355,0.02
YER095W,,,
YER096W,,,
YER098W,0.128,0.518,0.248
YER099C,0.011,0.441,0.024
YER100W,0.042,0.586,0.072
YER101C,0.064,0.687,0.094
YER102W,0.003,0.134,0.02
YER103W,0.023,0.599,0.038
YER104W,0.179,0.431,0.415
YER105C,,,
YER107C,0.019,0.465,0.042
YER109C,,,
YER110C,0.013,0.505,0.026
YER111C,0.07,0.503,0.138
YER112W,0.048,0.588,0.082
YER113C,0.083,0.461,0.18
YER114C,0.091,0.601,0.152
YER115C,0.159,0.64,0.249
YER116C,,,
YER118C,0.035,0.573,0.06
YER119C,0.078,0.603,0.129
YER120W,0.049,0.304,0.16
YER122C,0.052,0.553,0.095
YER123W,0.033,0.401,0.082
YER124C,0.102,0.48,0.212
YER125W,0.014,0.502,0.029
YER126C,0.004,0.353,0.01
YER127W,0.074,0.579,0.128
YER128W,,,
YER129W,0.13,0.583,0.224
YER130C,0.112,0.589,0.191
YER131W,   ,0.243,    
YER134C,,,
YER136W,0.006,0.417,0.015
YER137C,0.178,0.617,0.288
YER139C,0.027,0.432,0.063
YER140W,,,
YER141W,0.041,0.52,0.079
YER142C,0.129,0.607,0.213
YER143W,0.068,0.589,0.115
YER144C,0.134,0.61,0.22
YER145C,0.023,0.34,0.067
YER146W,0.01,0.285,0.035
YER148W,,,
YER149C,,,
YER150W,0.148,0.789,0.188
YER151C,0.089,0.624,0.143
YER152C,0.075,0.646,0.116
YER153C,0.118,0.52,0.226
YER154W,0.034,0.6,0.056
YER156C,0.035,0.612,0.057
YER157W,,,
YER158C,0.133,0.594,0.225
YER159C,0.108,0.403,0.269
YER161C,0.08,0.462,0.173
YER162C,0.113,0.525,0.215
YER163C,,,
YER164W,0.038,0.524,0.072
YER165W,0.007,0.248,0.027
YER166W,0.028,0.514,0.055
YER167W,0.075,0.509,0.147
YER168C,0.065,0.549,0.118
YER169W,0.051,0.579,0.088
YER171W,,,
YER173W,0.13,0.558,0.232
YER174C,0.07,0.57,0.122
YER175C,0.105,0.646,0.163
YER176W,0.095,0.531,0.179
YER177W,0.005,0.377,0.014
YER180C,0.157,0.537,0.292
YER182W,,,
YER183C,0.067,0.513,0.131
YER184C,,,
YER185W,,,
YER187W,0.058,0.092,0.63
YFL001W,,,
YFL002C,0.052,0.455,0.114
YFL003C,0.069,0.446,0.155
YFL004W,0.05,0.447,0.113
YFL005W,,,
YFL006W,0.025,0.591,0.043
YFL008W,0.044,0.491,0.09
YFL009W,0.08,0.479,0.167
YFL010C,0.054,0.439,0.124
YFL011W,0.044,0.695,0.063
YFL013C,,,
YFL014W,0.018,0.413,0.044
YFL016C,0.033,0.523,0.063
YFL017C,0.07,0.747,0.094
YFL018C,0.012,0.495,0.025
YFL020C,,,
YFL022C,0.012,0.38,0.032
YFL023W,,,
YFL024C,0.058,0.604,0.096
YFL025C,,,
YFL026W,,,
YFL027C,,,
YFL028C,,,
YFL030W,,,
YFL034W,,,
YFL036W,,,
YFL037W,,,
YFL038C,,,
YFL040W,,,
YFL041W,,,
YFL044C,,,
YFL045C,,,
YFL053W,0.022,0.498,0.044
YFL054C,0.107,0.572,0.187
YFL055W,,,
YFL057C,,,
YFL058W,,,
YFL059W,0.028,0.778,0.036
YFL060C,,,
YFL061W,,,
YFR002W,0.039,0.526,0.074
YFR003C,0.08,0.454,0.176
YFR004W,0.006,0.543,0.011
YFR005C,0.124,0.508,0.243
YFR006W,0.081,0.367,0.22
YFR007W,,,
YFR008W,0.14,0.473,0.297
YFR009W,0.016,0.401,0.041
YFR010W,0.028,0.414,0.068
YFR011C,0.05,0.42,0.12
YFR013W,0.079,0.493,0.16
YFR014C,0.067,0.533,0.126
YFR015C,,,
YFR016C,0.426,0.69,0.618
YFR017C,0.072,0.541,0.132
YFR021W,0.032,0.407,0.078
YFR022W,0.083,0.45,0.183
YFR023W,0.053,0.454,0.117
YFR025C,,,
YFR026C,,,
YFR027W,0.064,0.494,0.129
YFR028C,0.032,0.434,0.074
YFR029W,0.076,0.519,0.146
YFR030W,0.047,0.501,0.094
YFR031C,0.067,0.485,0.139
YFR032C,0.083,0.631,0.131
YFR033C,0.08,0.412,0.195
YFR034C,0.084,0.51,0.164
YFR036W,0.127,0.614,0.207
YFR037C,0.038,0.522,0.072
YFR039C,0.132,0.634,0.209
YFR040W,0.052,0.516,0.1
YFR041C,0.086,0.666,0.129
YFR042W,,,
YFR043C,0.174,0.653,0.267
YFR044C,0.02,0.634,0.032
YFR045W,0.082,0.624,0.132
YFR046C,0.209,0.546,0.383
YFR047C,0.036,0.547,0.066
YFR048W,0.072,0.482,0.148
YFR049W,0.099,0.474,0.21
YFR050C,0.025,0.475,0.053
YFR051C,0.033,0.502,0.065
YFR052W,0.027,0.472,0.056
YFR053C,0.021,0.438,0.049
YGL001C,0.018,0.529,0.035
YGL002W,0.122,0.461,0.265
YGL003C,0.034,0.517,0.065
YGL004C,0.12,0.375,0.32
YGL005C,,,
YGL006W,0.072,0.565,0.128
YGL008C,0.009,0.13,0.073
YGL009C,0.016,0.478,0.034
YGL011C,0.011,0.435,0.025
YGL012W,0.029,0.674,0.043
YGL014W,0.072,0.523,0.138
YGL015C,0.279,0.79,0.353
YGL016W,0.047,0.417,0.112
YGL017W,0.083,0.579,0.143
YGL018C,0.061,0.697,0.087
YGL019W,0.009,0.436,0.022
YGL020C,0.092,0.667,0.138
YGL022W,0.012,0.503,0.023
YGL023C,0.08,0.58,0.138
YGL026C,,,
YGL027C,0.068,0.562,0.121
YGL028C,,,
YGL029W,0.063,0.513,0.122
YGL031C,0.026,0.142,0.18
YGL032C,0.161,0.584,0.275
YGL035C,0.07,0.602,0.117
YGL036W,0.14,0.51,0.275
YGL037C,0.019,0.454,0.041
YGL038C,,,
YGL039W,,,
YGL040C,0.014,0.521,0.026
YGL043W,0.033,0.425,0.077
YGL044C,0.026,0.585,0.044
YGL047W,0.113,0.789,0.143
YGL048C,0.004,0.399,0.01
YGL049C,0.1,0.51,0.195
YGL050W,0.115,0.515,0.224
YGL054C,   ,0.299,    
YGL055W,0.014,0.271,0.053
YGL056C,0.036,0.506,0.07
YGL058W,0.012,0.518,0.023
YGL061C,,,
YGL062W,,,
YGL063W,,,
YGL064C,,,
YGL065C,,,
YGL067W,,,
YGL068W,,,
YGL070C,,,
YGL071W,,,
YGL072C,,,
YGL073W,,,
YGL075C,,,
YGL077C,,,
YGL078C,,,
YGL080W,,,
YGL081W,,,
YGL082W,,,
YGL083W,,,
YGL084C,,,
YGL085W,,,
YGL089C,,,
YGL090W,,,
YGL091C,,,
YGL093W,,,
YGL094C,,,
YGL096W,,,
YGL097W,,,
YGL098W,,,
YGL099W,,,
YGL100W,,,
YGL101W,,,
YGL105W,,,
YGL106W,,,
YGL107C,,,
YGL108C,,,
YGL110C,,,
YGL111W,,,
YGL113W,,,
YGL114W,,,
YGL115W,,,
YGL116W,,,
YGL117W,,,
YGL119W,0.064,0.598,0.107
YGL120C,0.014,0.458,0.031
YGL121C,,,
YGL122C,0.062,0.615,0.1
YGL123W,0.002,0.113,0.019
YGL125W,0.03,0.652,0.046
YGL126W,0.067,0.472,0.143
YGL127C,0.047,0.456,0.102
YGL130W,0.033,0.559,0.059
YGL131C,0.173,0.567,0.304
YGL133W,0.122,0.528,0.232
YGL134W,0.151,0.564,0.269
YGL135W,   ,0.111,    
YGL138C,0.178,0.826,0.215
YGL139W,0.044,0.511,0.086
YGL140C,,,
YGL141W,0.075,0.541,0.138
YGL142C,0.098,0.606,0.162
YGL143C,,,
YGL144C,0.06,0.569,0.106
YGL145W,0.106,0.6,0.176
YGL146C,,,
YGL147C,0.022,0.207,0.104
YGL148W,0.004,0.509,0.007
YGL150C,0.053,0.529,0.101
YGL151W,0.071,0.563,0.126
YGL153W,0.115,0.481,0.239
YGL154C,0.142,0.567,0.251
YGL155W,,,
YGL156W,0.033,0.591,0.056
YGL157W,,,
YGL158W,0.196,0.53,0.369
YGL159W,,,
YGL161C,0.082,0.53,0.155
YGL162W,0.134,0.679,0.197
YGL164C,0.096,0.515,0.186
YGL166W,0.162,0.428,0.378
YGL167C,,,
YGL169W,0.075,0.515,0.145
YGL170C,0.165,0.604,0.273
YGL171W,,,
YGL172W,0.103,0.638,0.161
YGL174W,0.176,0.535,0.329
YGL175C,0.156,0.489,0.318
YGL176C,0.259,0.623,0.415
YGL179C,0.123,0.473,0.26
YGL180W,0.05,0.493,0.102
YGL181W,,,
YGL183C,0.086,0.802,0.108
YGL184C,0.036,0.602,0.059
YGL185C,0.134,0.556,0.242
YGL186C,0.049,0.554,0.089
YGL187C,0.014,0.407,0.035
YGL189C,   ,0.055,    
YGL190C,0.019,0.388,0.05
YGL191W,,,
YGL192W,0.087,0.566,0.153
YGL194C,0.014,0.494,0.029
YGL197W,0.054,0.623,0.086
YGL200C,0.023,0.37,0.062
YGL201C,,,
YGL202W,0.045,0.564,0.08
YGL203C,,,
YGL205W,0.038,0.627,0.06
YGL206C,,,
YGL207W,0.017,0.507,0.034
YGL208W,0.138,0.612,0.226
YGL209W,,,
YGL210W,0.019,0.514,0.037
YGL213C,0.047,0.55,0.085
YGL215W,0.077,0.426,0.181
YGL216W,0.062,0.59,0.105
YGL219C,0.051,0.548,0.093
YGL220W,,,
YGL221C,0.068,0.591,0.115
YGL222C,0.103,0.357,0.288
YGL223C,,,
YGL224C,0.058,0.499,0.117
YGL225W,0.025,0.47,0.053
YGL226W,0.116,0.637,0.182
YGL227W,0.081,0.56,0.144
YGL228W,0.124,0.59,0.211
YGL230C,,,
YGL231C,0.058,0.551,0.105
YGL233W,0.05,0.516,0.098
YGL234W,0.021,0.405,0.052
YGL237C,0.114,0.437,0.26
YGL238W,0.037,0.432,0.086
YGL241W,0.116,0.569,0.203
YGL242C,0.048,0.45,0.107
YGL244W,0.031,0.477,0.064
YGL246C,0.055,0.571,0.097
YGL247W,0.131,0.51,0.258
YGL248W,0.058,0.598,0.097
YGL249W,0.253,0.573,0.441
YGL251C,0.1,0.597,0.167
YGL252C,0.011,0.457,0.024
YGL253W,0.011,0.284,0.039
YGL254W,,,
YGL255W,0.061,0.526,0.116
YGL258W,0.069,0.594,0.116
YGR002C,0.057,0.514,0.11
YGR003W,0.138,0.608,0.227
YGR004W,0.068,0.467,0.145
YGR005C,0.016,0.492,0.033
YGR007W,,,
YGR008C,,,
YGR009C,0.09,0.526,0.172
YGR010W,0.018,0.422,0.044
YGR012W,0.048,0.549,0.087
YGR013W,0.146,0.461,0.316
YGR014W,0.239,0.582,0.412
YGR015C,,,
YGR016W,0.068,0.447,0.152
YGR017W,0.07,0.38,0.184
YGR019W,0.019,0.37,0.052
YGR020C,0.009,0.369,0.024
YGR021W,0.067,0.584,0.115
YGR023W,0.19,0.831,0.229
YGR024C,,,
YGR026W,0.038,0.502,0.076
YGR027C,   ,0.122,    
YGR028W,,,
YGR030C,0.17,0.621,0.274
YGR033C,,,
YGR035C,0.155,0.489,0.317
YGR036C,0.06,0.658,0.09
YGR037C,   ,0.392,    
YGR038W,0.034,0.468,0.073
YGR040W,,,
YGR041W,,,
YGR042W,0.217,0.572,0.38
YGR043C,,,
YGR044C,0.271,0.641,0.422
YGR046W,0.056,0.584,0.095
YGR047C,,,
YGR048W,0.046,0.607,0.075
YGR049W,0.038,0.49,0.077
YGR052W,0.07,0.655,0.107
YGR053C,0.157,0.621,0.254
YGR054W,,,
YGR055W,,,
YGR058W,0.074,0.413,0.18
YGR059W,,,
YGR060W,0.001,0.264,0.005
YGR061C,,,
YGR062C,0.086,0.624,0.138
YGR063C,0.009,0.544,0.016
YGR065C,,,
YGR066C,0.111,0.664,0.167
YGR068C,0.067,0.59,0.114
YGR070W,,,
YGR071C,0.174,0.588,0.295
YGR072W,0.09,0.448,0.2
YGR074W,0.019,0.582,0.033
YGR075C,0.081,0.466,0.173
YGR076C,0.034,0.572,0.06
YGR077C,0.16,0.566,0.283
YGR078C,0.031,0.513,0.06
YGR079W,,,
YGR080W,0.096,0.491,0.196
YGR081C,0.119,0.367,0.323
YGR082W,0.019,0.433,0.044
YGR083C,0.039,0.494,0.079
YGR085C,   ,0.319,    
YGR086C,0.015,0.506,0.029
YGR087C,,,
YGR089W,,,
YGR090W,0.055,0.486,0.113
YGR091W,,,
YGR092W,0.026,0.515,0.051
YGR093W,0.116,0.661,0.175
YGR094W,0.025,0.411,0.06
YGR096W,0.063,0.565,0.112
YGR097W,0.041,0.59,0.069
YGR099W,0.157,0.666,0.236
YGR100W,0.035,0.546,0.064
YGR101W,,,
YGR102C,0.153,0.559,0.274
YGR103W,,,
YGR104C,0.092,0.44,0.209
YGR105W,0.033,0.454,0.072
YGR106C,0.145,0.538,0.27
YGR108W,0.061,0.587,0.104
YGR110W,0.097,0.529,0.183
YGR111W,,,
YGR112W,0.114,0.474,0.241
YGR116W,0.017,0.478,0.036
YGR117C,0.16,0.529,0.302
YGR119C,,,
YGR121C,,,
YGR122W,,,
YGR123C,,,
YGR124W,0.023,0.451,0.051
YGR125W,,,
YGR126W,0.048,0.527,0.091
YGR127W,,,
YGR128C,,,
YGR129W,0.167,0.526,0.317
YGR130C,,,
YGR131W,0.066,0.722,0.092
YGR132C,0.019,0.484,0.04
YGR134W,0.112,0.572,0.196
YGR135W,0.01,0.593,0.018
YGR136W,,,
YGR138C,,,
YGR141W,0.071,0.406,0.176
YGR142W,,,
YGR143W,0.053,0.521,0.101
YGR144W,0.004,0.366,0.01
YGR145W,0.031,0.445,0.07
YGR146C,0.082,0.375,0.218
YGR147C,0.123,0.571,0.215
YGR148C,0.006,0.148,0.041
YGR149W,,,
YGR150C,,,
YGR152C,0.061,0.503,0.122
YGR153W,0.345,0.951,0.363
YGR154C,,,
YGR155W,0.026,0.51,0.051
YGR156W,0.071,0.446,0.159
YGR157W,0.068,0.524,0.13
YGR159C,0.044,0.374,0.117
YGR160W,,,
YGR161C,0.072,0.547,0.131
YGR162W,,,
YGR163W,0.013,0.5,0.026
YGR165W,0.054,0.467,0.116
YGR166W,0.121,0.431,0.282
YGR167W,,,
YGR168C,0.2,0.468,0.427
YGR169C,0.114,0.554,0.206
YGR170W,0.066,0.432,0.152
YGR172C,0.031,0.592,0.053
YGR173W,,,
YGR175C,0.01,0.367,0.026
YGR177C,0.115,0.512,0.224
YGR178C,0.073,0.525,0.14
YGR180C,0.019,0.329,0.059
YGR181W,0.042,0.629,0.067
YGR184C,,,
YGR185C,0.021,0.436,0.049
YGR187C,,,
YGR188C,,,
YGR189C,,,
YGR191W,0.025,0.498,0.049
YGR192C,0.002,0.035,0.07
YGR193C,,,
YGR195W,,,
YGR196C,,,
YGR198W,0.09,0.581,0.155
YGR199W,,,
YGR200C,,,
YGR202C,0.034,0.497,0.068
YGR203W,,,
YGR204W,0.021,0.535,0.039
YGR205W,,,
YGR206W,0.062,0.355,0.175
YGR207C,0.031,0.506,0.062
YGR208W,0.081,0.467,0.172
YGR209C,0.037,0.423,0.088
YGR210C,0.009,0.421,0.022
YGR211W,,,
YGR213C,0.159,0.554,0.287
YGR215W,0.038,0.419,0.091
YGR218W,0.008,0.422,0.019
YGR220C,0.046,0.578,0.079
YGR222W,0.147,0.665,0.222
YGR223C,,,
YGR227W,0.068,0.403,0.167
YGR229C,,,
YGR230W,,,
YGR232W,,,
YGR233C,0.064,0.599,0.108
YGR234W,0.068,0.556,0.122
YGR235C,0.122,0.662,0.184
YGR237C,0.076,0.576,0.132
YGR239C,0.187,0.632,0.296
YGR240C,0.011,0.391,0.029
YGR241C,0.076,0.598,0.127
YGR243W,0.031,0.833,0.037
YGR244C,0.029,0.489,0.059
YGR245C,,,
YGR246C,,,
YGR247W,,,
YGR248W,,,
YGR249W,0.098,0.508,0.192
YGR250C,0.071,0.566,0.125
YGR251W,0.125,0.496,0.252
YGR252W,0.03,0.418,0.072
YGR253C,0.008,0.32,0.024
YGR254W,0.002,0.092,0.023
YGR255C,0.034,0.599,0.057
YGR256W,,,
YGR257C,0.054,0.537,0.101
YGR260W,0.02,0.49,0.042
YGR261C,0.077,0.5,0.154
YGR262C,0.048,0.525,0.092
YGR263C,0.099,0.568,0.173
YGR264C,0.034,0.516,0.066
YGR266W,0.074,0.641,0.115
YGR267C,0.005,0.359,0.014
YGR268C,0.104,0.553,0.187
YGR270W,0.109,0.556,0.196
YGR274C,0.067,0.552,0.122
YGR276C,0.073,0.506,0.144
YGR278W,,,
YGR279C,0.062,0.392,0.159
YGR280C,,,
YGR281W,0.038,0.624,0.06
YGR282C,0.008,0.31,0.027
YGR283C,,,
YGR284C,0.013,0.375,0.036
YGR285C,0.024,0.378,0.062
YGR286C,0.015,0.493,0.03
YGR287C,,,
YGR288W,0.1,0.683,0.147
YGR289C,0.068,0.756,0.09
YGR292W,,,
YGR294W,0.035,0.37,0.093
YHL002W,0.101,0.596,0.169
YHL003C,0.018,0.514,0.035
YHL004W,,,
YHL008C,,,
YHL009C,0.221,0.465,0.476
YHL010C,,,
YHL011C,0.005,0.3,0.015
YHL012W,,,
YHL013C,0.092,0.63,0.146
YHL014C,,,
YHL015W,   ,0.136,    
YHL016C,0.022,0.493,0.044
YHL017W,0.067,0.477,0.141
YHL018W,0.067,0.57,0.118
YHL019C,,,
YHL020C,0.077,0.566,0.135
YHL021C,,,
YHL022C,0.114,0.531,0.215
YHL023C,0.092,0.552,0.166
YHL024W,0.057,0.477,0.119
YHL025W,0.097,0.417,0.232
YHL027W,0.131,0.575,0.227
YHL028W,0.172,0.811,0.212
YHL029C,0.036,0.578,0.063
YHL031C,0.011,0.457,0.025
YHL032C,,,
YHL033C,0.022,0.195,0.115
YHL034C,0.033,0.353,0.093
YHL036W,0.055,0.589,0.094
YHL038C,0.132,0.582,0.228
YHL039W,0.113,0.595,0.189
YHL040C,,,
YHL044W,,,
YHR001W,0.041,0.671,0.061
YHR002W,0.038,0.359,0.106
YHR003C,0.084,0.389,0.216
YHR004C,0.08,0.43,0.187
YHR005C,,,
YHR006W,0.137,0.548,0.25
YHR007C,0.017,0.294,0.057
YHR008C,0.024,0.437,0.054
YHR009C,0.025,0.516,0.048
YHR011W,0.093,0.451,0.207
YHR013C,0.026,0.46,0.055
YHR014W,,,
YHR015W,,,
YHR017W,,,
YHR018C,,,
YHR019C,,,
YHR020W,,,
YHR023W,,,
YHR024C,0.042,0.56,0.074
YHR025W,0.013,0.329,0.039
YHR026W,0.007,0.224,0.033
YHR028C,0.084,0.554,0.151
YHR029C,0.105,0.573,0.183
YHR030C,0.04,0.395,0.101
YHR031C,0.081,0.571,0.141
YHR033W,0.027,0.616,0.043
YHR034C,0.145,0.715,0.203
YHR035W,,,
YHR036W,0.092,0.415,0.223
YHR037W,0.023,0.537,0.043
YHR038W,0.092,0.524,0.176
YHR039C,0.025,0.538,0.046
YHR040W,,,
YHR042W,,,
YHR043C,,,
YHR044C,0.05,0.509,0.098
YHR045W,0.085,0.54,0.157
YHR046C,0.03,0.589,0.05
YHR047C,,,
YHR048W,,,
YHR049W,0.012,0.513,0.024
YHR050W,,,
YHR051W,0.023,0.376,0.062
YHR052W,0.064,0.527,0.121
YHR056C,0.121,0.489,0.247
YHR057C,0.077,0.718,0.107
YHR058C,0.05,0.624,0.079
YHR059W,,,
YHR060W,0.109,0.679,0.161
YHR061C,0.082,0.511,0.161
YHR062C,0.058,0.584,0.099
YHR063C,0.071,0.471,0.15
YHR066W,0.045,0.545,0.083
YHR067W,0.174,0.602,0.288
YHR068W,,,
YHR069C,,,
YHR070W,0.065,0.606,0.107
YHR071W,0.16,0.727,0.22
YHR072W,0.046,0.535,0.086
YHR073W,0.061,0.539,0.113
YHR074W,0.019,0.444,0.043
YHR075C,0.107,0.513,0.209
YHR076W,0.068,0.541,0.126
YHR078W,0.052,0.524,0.099
YHR079C,0.076,0.541,0.141
YHR080C,,,
YHR081W,,,
YHR082C,0.051,0.479,0.107
YHR083W,0.141,0.551,0.256
YHR084W,0.069,0.592,0.116
YHR085W,,,
YHR086W,0.105,0.556,0.188
YHR087W,0.041,0.504,0.081
YHR088W,0.011,0.627,0.018
YHR090C,0.061,0.591,0.104
YHR091C,0.119,0.581,0.205
YHR094C,,,
YHR096C,0.016,0.518,0.03
YHR098C,,,
YHR100C,0.058,0.579,0.1
YHR102W,,,
YHR103W,0.096,0.583,0.164
YHR104W,0.022,0.703,0.032
YHR105W,0.114,0.531,0.214
YHR106W,,,
YHR107C,0.018,0.519,0.034
YHR108W,0.055,0.484,0.113
YHR109W,0.196,0.59,0.332
YHR110W,0.086,0.629,0.136
YHR111W,0.073,0.534,0.136
YHR112C,0.032,0.574,0.055
YHR113W,0.061,0.567,0.107
YHR114W,,,
YHR115C,0.046,0.433,0.106
YHR117W,0.087,0.605,0.144
YHR118C,0.095,0.515,0.184
YHR119W,0.085,0.489,0.174
YHR120W,0.075,0.514,0.146
YHR121W,0.028,0.395,0.07
YHR122W,0.058,0.47,0.123
YHR124W,,,
YHR126C,0.228,0.691,0.33
YHR127W,0.175,0.765,0.228
YHR129C,0.065,0.535,0.122
YHR131C,,,
YHR132C,0.061,0.668,0.091
YHR133C,0.105,0.425,0.248
YHR137W,0.064,0.722,0.089
YHR138C,0.13,0.5,0.26
YHR139C,0.054,0.626,0.086
YHR142W,0.039,0.554,0.07
YHR143W,0.174,0.488,0.357
YHR144C,0.066,0.531,0.124
YHR146W,,,
YHR147C,0.071,0.496,0.143
YHR148W,0.011,0.417,0.026
YHR149C,0.158,0.571,0.276
YHR151C,,,
YHR152W,0.133,0.59,0.225
YHR153C,0.174,0.66,0.264
YHR155W,0.094,0.607,0.155
YHR156C,0.2,0.581,0.345
YHR157W,0.174,0.566,0.308
YHR158C,0.097,0.545,0.178
YHR159W,0.158,0.48,0.329
YHR160C,,,
YHR161C,0.101,0.598,0.169
YHR162W,0.003,0.428,0.007
YHR163W,,,
YHR164C,0.109,0.495,0.22
YHR166C,0.034,0.49,0.07
YHR167W,0.074,0.376,0.197
YHR169W,,,
YHR170W,0.016,0.42,0.038
YHR171W,0.092,0.544,0.17
YHR172W,,,
YHR174W,0.006,0.04,0.161
YHR177W,,,
YHR178W,0.051,0.501,0.103
YHR179W,0.026,0.421,0.062
YHR181W,0.03,0.434,0.069
YHR182W,0.203,0.621,0.328
YHR208W,,,
YHR215W,,,
YIL001W,0.085,0.516,0.166
YIL002C,0.03,0.44,0.069
YIL005W,0.144,0.527,0.273
YIL006W,0.048,0.52,0.092
YIL007C,0.111,0.628,0.177
YIL008W,0.037,0.557,0.067
YIL009W,,,
YIL010W,,,
YIL011W,0.117,0.639,0.183
YIL013C,,,
YIL014W,,,
YIL015W,0.154,0.638,0.241
YIL016W,0.086,0.581,0.148
YIL017C,0.058,0.534,0.108
YIL019W,0.112,0.596,0.189
YIL020C,0.044,0.512,0.086
YIL021W,0.014,0.395,0.035
YIL022W,0.02,0.533,0.037
YIL023C,0.147,0.617,0.238
YIL024C,0.01,0.565,0.018
YIL026C,0.081,0.549,0.147
YIL027C,0.056,0.466,0.121
YIL030C,,,
YIL031W,,,
YIL033C,0.022,0.458,0.048
YIL034C,0.04,0.426,0.094
YIL035C,0.025,0.564,0.045
YIL037C,0.231,0.634,0.365
YIL038C,0.051,0.487,0.104
YIL039W,0.073,0.524,0.14
YIL040W,,,
YIL041W,0.017,0.48,0.036
YIL042C,,,
YIL044C,0.074,0.453,0.164
YIL045W,0.091,0.517,0.177
YIL047C,0.042,0.493,0.084
YIL048W,0.023,0.445,0.052
YIL049W,0.075,0.412,0.182
YIL050W,0.111,0.645,0.172
YIL051C,0.033,0.404,0.081
YIL053W,,,
